item_name,main_category,sub_category,unit_buying_price,unit_selling_price,unit_price_margin,quantity,revenue,profit
1Kg Olive Pack,Fresh Produce,Other Vegies,6.99,10.0,3.0099999999999993,9.088000000000001,90.88,27.354879999999994
1Lt Coconut Oil,Pantry Staples,Oil,0.2800000000000001,14.0,13.720000000000011,80.0,1120.0,1097.6000000000004
1Lt Coconut Oil Ver,Pantry Staples,Oil,0.0,14.0,14.0,10.0,140.0,140.0
2Kg Marsh Grapefruit,Fresh Produce,Citrus Fruits,3.0,5.0,2.0,141.0,705.0,282.0
2Kg Royal Gala Apple,Fresh Produce,Apples,0.0,4.5,4.5,60.0,270.0,270.0
3Kg Marsh Grapefruit,Fresh Produce,Citrus Fruits,3.0,4.99,1.9900000000000007,31.0,154.69,61.69000000000002
3Kg Valencia Oranges,Fresh Produce,Citrus Fruits,2.0,4.5,2.5,1035.0,4657.5,2587.5
Adelaide Tomatoes,Fresh Produce,Tomatoes,0.0,7.990000000000001,7.990000000000001,3.0300000000000002,24.2097,24.2097
Adzuki Beans 500G,Pantry Staples,Grains And Pulses,2.0,2.6899999999999986,0.6899999999999996,68.0,182.9199999999999,46.91999999999998
Afourer Mandarin,Fresh Produce,Citrus Fruits,1.0,2.5,1.5,343.3180000000003,858.2950000000004,514.9770000000001
Al Nakhil Tahina 454G,Pantry Staples,Grains And Pulses,4.0,4.990000000000003,0.9900000000000001,45.0,224.55000000000013,44.550000000000004
Alfa Alfa,Fresh Produce,Other Vegies,0.0,2.4000000000000012,2.4000000000000012,120.0,288.0000000000001,288.0000000000001
Almond Bread,Breads & Bakery,Sweet Bread,4.29,5.090909091,0.8009090909999999,17.0,86.545454547,13.615454546999999
Almond Cresent 250G,Snacks,Dry Fruits And Nuts,3.5,4.53636363599999,1.0363636360000013,118.0,535.290909047999,122.29090904800013
Almonds Natural 500G,Snacks,Dry Fruits And Nuts,7.75,9.990000000000007,2.2400000000000047,148.0,1478.5200000000011,331.5200000000007
Almonds Roasted 375G,Snacks,Dry Fruits And Nuts,8.0,9.081818182000005,1.081818182000001,77.0,699.3000000140004,83.30000001400008
Amami Papadam,Pantry Staples,Grains And Pulses,1.1499999999999992,1.9900000000000007,0.84,34.0,67.66000000000001,28.56
Ambarella,Fresh Produce,Asian Vegies,4.0,4.989999999999998,0.9899999999999995,11.924,59.50076,11.804759999999998
Ambarella Chutney Dera,Pantry Staples,Pickle,3.399999999999999,4.990000000000001,1.59,13.0,64.87000000000002,20.67
Amber Jewl Plum,Fresh Produce,Stonefruits,0.0,1.9899999999999984,1.9899999999999984,30.406000000000002,60.50794,60.50794
Amberella Curry,Pantry Staples,Sauce,3.9500000000000015,5.489999999999998,1.5399999999999994,29.0,159.21000000000004,44.65999999999999
Ambulthiyal Mix La,Snacks,Packaged Snacks,3.1,3.99,0.89,3.0,11.97,2.67
Annapura Atta 1Kg,Fresh Produce,Root Vegies,2.5,3.990000000000001,1.49,8.0,31.92000000000001,11.92
Apple Granny Smith 1Kg Bag,Fresh Produce,Apples,3.0,2.69,-0.31,4.0,10.76,-1.24
Apple Granny Smith 2Kg Bags,Fresh Produce,Apples,3.0,4.5,1.5,169.0,760.5,253.5
Apple Jazz,Fresh Produce,Apples,2.0,5.989999999999935,3.990000000000008,415.81800000000027,2490.749820000003,1659.1138199999994
Apple Jonathan,Fresh Produce,Apples,2.0,3.0,1.0,155.7840000000001,467.35199999999975,155.7840000000001
Apple Pink Lady 1Kg Punnet,Fresh Produce,Apples,3.5,3.9900000000000015,0.49000000000000016,14.0,55.86000000000002,6.860000000000002
Apple Pink Lady 2Kg,Fresh Produce,Apples,3.0,5.0,2.0,559.0,2795.0,1118.0
Apple Rings 500G,Snacks,Dry Fruits And Nuts,5.25,7.0,1.75,8.0,56.0,14.0
Apples Fuji,Fresh Produce,Apples,0.0,3.9899999999998355,3.9899999999998355,2030.7699999999975,8102.772299999986,8102.772299999986
Apples Golden Delicious,Fresh Produce,Apples,0.0,3.9899999999999496,3.9899999999999496,488.2620000000002,1948.1653799999985,1948.1653799999985
Apples Granny Smith,Fresh Produce,Apples,0.0,3.0,3.0,2447.337999999997,7342.014,7342.014
Apples Pink Lady,Fresh Produce,Apples,0.0,2.989999999999815,2.989999999999815,4273.473999999995,12777.68726000001,12777.68726000001
Apples Red Delicious,Fresh Produce,Apples,0.0,3.0,3.0,789.3640000000009,2368.092000000001,2368.092000000001
Apples Royal Gala,Fresh Produce,Apples,0.0,3.0,3.0,2476.8790000000035,7430.63699999998,7430.63699999998
Apricot Dried 500G,Snacks,Dry Fruits And Nuts,5.5,6.990000000000006,1.4899999999999989,98.0,685.0200000000007,146.01999999999995
Apricots,Fresh Produce,Stonefruits,0.0,3.9899999999998594,3.9899999999998594,782.5389999999999,3122.330610000004,3122.330610000004
Artichoke,Fresh Produce,Other Vegies,1.5,1.8000000000000074,0.2999999999999986,648.0,1166.3999999999999,194.39999999999958
Artichoke 2 For 3,Fresh Produce,Deals,3.5999999999999996,3.0,-0.5999999999999999,30.0,90.0,-18.0
Artichoke Purple,Fresh Produce,Other Vegies,2.0,2.0,0.0,306.0,612.0,0.0
Asparagus 2 For $3,Fresh Produce,Deals,1.0,3.0,2.0,85.0,255.0,170.0
Asparagus Loose,Fresh Produce,Other Vegies,0.0,3.99,3.99,4.246,16.941540000000003,16.941540000000003
Atta 1Kg Pattu,Pantry Staples,Flour,1.75,2.990000000000001,1.2399999999999998,16.0,47.84000000000002,19.839999999999996
Atta 5Kg Dia,Pantry Staples,Flour,5.950000000000001,7.99,2.0399999999999996,10.0,79.9,20.399999999999995
Atta Chakki Fresh,Pantry Staples,Flour,1.85,2.5,0.6500000000000001,11.0,27.5,7.15
Attiki Honey 500G,Pantry Staples,Condiments,12.0,15.0,3.0,24.0,360.0,72.0
Aussie Cucumber,Fresh Produce,Cucumbers,0.0,3.9900000000000047,3.9900000000000047,38.331999999999994,152.94468000000003,152.94468000000003
Australian Asparagus Green,Fresh Produce,Bunch Vegies,2.0,2.7000000000000104,0.6999999999999992,1033.3220000000001,2789.9694000000077,723.3253999999991
Autum Giant Plum,Fresh Produce,Stonefruits,0.0,2.799999999999999,2.799999999999999,13.920000000000003,38.976,38.976
Avana Manadarin,Fresh Produce,Citrus Fruits,0.0,2.5,2.5,91.23000000000002,228.07500000000002,228.07500000000002
Avocado 2 For $,Fresh Produce,Deals,1.25,2.0,0.75,364.0,728.0,273.0
Avocado Hass Large,Fresh Produce,Avocadoes,1.5,2.5,1.0,2249.0,5622.5,2249.0
Avocado Hass Medium,Fresh Produce,Avocadoes,3.0,1.990000000000008,-1.0099999999999927,1105.0,2198.9500000000057,-1116.0499999999918
Avocado Shepard,Fresh Produce,Avocadoes,0.0,2.0,2.0,989.0,1978.0,1978.0
Avocado Small Hass,Fresh Produce,Avocadoes,0.5,2.5,2.0,659.3879999999999,1648.4700000000003,1318.7759999999998
Baby Beetroot 250G,Fresh Produce,Root Vegies,0.0,2.9900000000000078,2.9900000000000078,392.0,1172.080000000003,1172.080000000003
Baby Corn,Fresh Produce,Other Vegies,0.0,2.9900000000000064,2.9900000000000064,233.0,696.6700000000014,696.6700000000014
Baby Cos 2Pac,Fresh Produce,Lettuces,2.0,2.900000000000056,0.8999999999999844,1254.384,3637.713600000055,1128.945599999995
Baking Powder 50G,Pantry Staples,Baking,1.2,1.99,0.79,2.0,3.98,1.58
Balsamic Vinegar 500Ml,Pantry Staples,Vinegar,3.0,3.990000000000001,0.9900000000000001,7.0,27.930000000000007,6.930000000000001
Banana Cavendish,Fresh Produce,Bananas,2.0,1.9899999999997808,-0.009999999999996742,24348.693000000116,48453.89906999981,-243.48693000000011
Banana Chips280G,Snacks,Packaged Snacks,2.3500000000000005,4.989999999999999,2.64,21.0,104.78999999999999,55.440000000000005
Banana Monkey,Fresh Produce,Bananas,0.0,7.9900000000000055,7.9900000000000055,18.562000000000005,148.31038,148.31038
Bananas Ladyfinger,Fresh Produce,Bananas,4.5,4.800000000000007,0.30000000000000043,43.75,210.0,13.125
Barley Rusk,Breads & Bakery,Toast,5.5,7.0,1.5,63.0,441.0,94.5
Barley Rusk Samaria,Breads & Bakery,Toast,5.0,7.0,2.0,31.0,217.0,62.0
Barlotti Beans 500G,Pantry Staples,Grains And Pulses,2.1999999999999957,3.5,1.299999999999999,137.0,479.5,178.10000000000016
Basil Italian,Fresh Produce,Herbs,0.0,4.0,4.0,437.0,1748.0,1748.0
Basil Seed 100G(Casa Casa),Pantry Staples,Spices,3.0,3.9900000000000015,0.9900000000000001,16.0,63.840000000000025,15.840000000000002
Basil Seed Lychi 290Ml,Beverages,Mix,0.9000000000000001,1.6899999999999997,0.79,9.0,15.209999999999997,7.11
Basil Seed Mango Juice290Ml,Beverages,Mix,0.9000000000000002,1.69,0.7900000000000001,12.0,20.28,9.48
Basil Seed Mango Sharbath 290Ml,Beverages,Mix,1.0,1.8181818179999996,0.8181818179999995,88.0,159.99999998399997,71.99999998399996
Basil Seed Rose Sharbath,Beverages,Mix,1.0,1.8181818180000013,0.8181818179999995,213.0,387.27272723400125,174.2727272339999
Basil Seed With Pomegranate 290Ml,Beverages,Mix,1.0,1.6272727269999994,0.6272727269999991,128.0,208.29090905599995,80.29090905599998
Basil Thai,Fresh Produce,Herbs,0.0,3.0,3.0,75.0,225.0,225.0
Basmathi 1Kg Monsoon,Pantry Staples,Rice,1.75,2.990000000000001,1.2399999999999995,19.0,56.810000000000024,23.55999999999999
Basmathi Rice Golden Sella 1Kg,Pantry Staples,Rice,2.899999999999999,3.9900000000000015,1.09,18.0,71.82000000000001,19.62
Bbq Fride Rice Cracker,Snacks,Packaged Snacks,2.8000000000000016,4.536363636000001,1.7363636359999972,61.0,276.71818179600007,105.91818179599983
Bean Sprouts,Fresh Produce,Asian Vegies,1.25,2.0,0.75,611.0,1222.0,458.25
Beans Broad,Fresh Produce,Other Vegies,0.0,5.990000000000006,5.990000000000006,71.81799999999996,430.1898200000001,430.1898200000001
Beans Green,Fresh Produce,Other Vegies,0.0,4.990000000000143,4.990000000000143,1422.583000000001,7098.689169999993,7098.689169999993
Beans Snake,Fresh Produce,Veggies,4.0,8.989999999999899,4.989999999999993,172.86999999999998,1554.1012999999998,862.6212999999999
Beetroot,Fresh Produce,Root Vegies,0.0,2.989999999999885,2.989999999999885,843.9919999999995,2523.536079999998,2523.536079999998
Beetroot Bunch,Fresh Produce,Bunch Vegies,0.0,3.9899999999999567,3.9899999999999567,675.0,2693.249999999972,2693.249999999972
Beetroot Golden Delicious,Fresh Produce,Bunch Vegies,0.0,4.99,4.99,5.0,24.950000000000003,24.950000000000003
Berries Blackberry,Fresh Produce,Berries,0.0,5.0,5.0,34.0,170.0,170.0
Berries Blueberry,Fresh Produce,Berries,0.0,3.5,3.5,612.0,2142.0,2142.0
Berries Raspberry,Fresh Produce,Berries,0.0,3.5,3.5,62.0,217.0,217.0
Berries Strawberry (Large),Fresh Produce,Berries,3.3299999999999486,3.8000000000000944,0.47000000000001557,1675.0,6365.000000000102,787.2500000000193
Berries Strawberry (Medium),Fresh Produce,Berries,0.0,2.5,2.5,3444.0,8610.0,8610.0
Biriyani Mix 50G,Pantry Staples,Spices,0.0,2.5,2.5,5.0,12.5,12.5
Biryani Masala 200G,Pantry Staples,Spices,0.0,3.0,3.0,11.0,33.0,33.0
Biscota Cocoa,Snacks,Biscuits,3.0,3.9900000000000007,0.9899999999999999,42.0,167.58000000000004,41.58
Bite Mixture Serandib 200G,Snacks,Packaged Snacks,2.25,2.990000000000001,0.7400000000000001,17.0,50.83000000000002,12.580000000000002
Bitter Melon,Fresh Produce,Asian Vegies,5.0,4.5,-0.5,475.5109999999997,2139.799499999999,-237.75549999999984
Black Beans 500G,Pantry Staples,Pulses And Grains,1.7999999999999983,2.4899999999999984,0.6900000000000004,53.0,131.96999999999994,36.570000000000014
Black Currents,Fresh Produce,Grapes,0.0,4.989999999999998,4.989999999999998,7.114,35.49886,35.49886
Black Pepper 150G Dera,Pantry Staples,Spices,4.299999999999999,5.5,1.1999999999999997,14.0,77.0,16.799999999999997
Black Pepper 200G Kandyan,Pantry Staples,Spices,3.5,4.99,1.49,3.0,14.97,4.47
Black Pepper Crushed100G,Pantry Staples,Spices,2.3000000000000003,3.9900000000000015,1.6900000000000002,13.0,51.87000000000001,21.970000000000002
Black Pepper Powder100G Pattu,Fresh Produce,Deals,1.6999999999999995,2.990000000000001,1.2899999999999996,19.0,56.81000000000002,24.509999999999998
Black Pepper Whole100G,Pantry Staples,Spices,1.1,2.7181818179999997,1.618181818,18.0,48.927272724,29.127272724
Black Plum,Fresh Produce,Stonefruits,0.0,2.9899999999999447,2.9899999999999447,562.3540000000002,1681.4384599999973,1681.4384599999973
Black Sesame Seeds 500G,Pantry Staples,Spices,4.0,5.29,1.2900000000000003,7.0,37.03,9.030000000000001
